"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"1324"	4	34	9	6	13	19	6	7	0	1	10	4	322	3	0	7	5	4	11	3	0	6	12	4	0	2	0	3	8	53	11	3	2	5	5	26	0	45	6	169	1	6	23	15	7	7	4	1	1	4	1	5	1	8	5	6	0	1	1	4	9	3	3	4	10	6	6	24	7	0	56	44	2	9	25	9	0	1	10	29	4	2	89	7	9	3	9	2	7	9	12	4	9	7	10	10	1	9	8	1
"1336"	7	42	10	14	5	16	5	8	0	3	13	1	326	3	2	4	4	1	6	7	5	5	11	1	3	1	1	3	8	58	10	0	3	5	9	27	3	39	16	177	1	6	12	19	5	11	5	0	0	1	0	3	0	4	3	5	3	0	3	10	11	4	2	2	9	3	2	19	8	0	59	38	1	14	18	7	0	3	9	23	1	3	78	6	9	0	14	0	3	7	9	5	9	11	3	12	0	5	6	3
"1346"	3	25	4	8	4	20	9	11	0	8	11	0	341	1	4	10	6	0	4	12	2	3	12	2	0	2	0	2	6	66	9	7	1	10	4	28	6	47	11	177	2	7	14	16	5	24	1	0	0	3	2	3	2	10	2	3	0	2	3	6	10	2	0	5	7	4	1	28	8	0	60	36	2	5	18	7	1	2	10	32	6	1	73	4	7	0	6	1	2	2	9	5	10	3	4	14	1	4	6	2
"1353"	4	27	9	5	8	22	0	4	0	1	13	2	330	3	3	8	5	4	3	7	5	8	9	0	0	2	1	3	5	60	10	7	5	10	5	35	0	46	12	183	4	3	16	19	5	15	6	2	1	2	3	4	1	6	2	2	0	3	0	4	4	2	0	3	13	4	3	23	5	1	57	30	4	8	20	5	0	3	14	33	6	1	75	4	8	0	5	1	3	8	17	2	10	6	9	16	0	10	9	5
"1357"	8	26	8	7	9	20	1	5	0	2	14	6	329	3	3	6	1	1	6	11	5	8	8	4	0	2	0	2	9	55	8	6	3	12	0	17	0	46	5	182	3	6	14	12	7	17	8	0	2	5	2	6	2	10	3	4	3	1	6	7	6	1	4	6	9	5	3	26	11	2	47	42	1	11	26	8	1	2	9	38	5	1	76	8	6	0	11	1	5	7	16	2	11	2	4	14	1	9	9	6
"1369"	5	38	8	7	8	24	2	6	0	2	11	3	342	0	3	7	3	2	5	15	3	7	12	2	0	0	0	1	4	53	11	5	11	7	4	27	7	41	8	180	2	3	28	16	6	16	7	0	1	3	1	4	4	8	1	5	3	2	3	5	14	1	1	4	8	4	2	25	10	3	55	34	0	7	18	11	0	2	10	33	3	1	80	3	10	0	7	0	1	3	12	6	10	9	7	13	0	2	6	4
"1381"	6	26	9	15	6	27	1	5	0	3	9	6	331	1	4	7	9	4	7	3	4	4	10	1	0	1	0	3	7	62	14	4	10	8	4	21	8	48	7	177	0	8	24	13	10	10	8	0	0	6	1	5	1	11	1	2	6	3	3	2	15	3	1	4	7	4	3	23	6	0	51	42	4	4	23	15	1	2	7	34	8	0	55	5	7	1	12	0	2	2	5	5	15	4	5	15	1	10	2	2
"1386"	9	30	8	9	7	24	1	2	0	0	12	1	322	1	2	11	4	4	2	8	3	9	11	3	0	4	0	2	4	74	11	2	4	9	2	24	4	53	11	176	1	8	28	15	5	9	9	0	2	7	3	3	2	16	3	4	1	2	2	7	8	2	1	6	9	7	6	25	5	1	46	39	3	7	27	8	0	4	11	33	10	0	67	5	4	1	3	1	1	7	17	4	14	4	6	21	3	13	4	3
"1393"	4	36	8	9	8	27	3	7	0	2	15	2	312	5	5	13	9	1	8	10	2	4	13	4	3	0	0	1	4	68	13	5	5	7	5	21	3	43	9	191	2	4	20	15	6	13	3	0	0	6	4	6	1	7	1	8	0	0	2	6	8	5	0	7	10	5	1	28	9	3	45	34	4	3	13	9	1	1	6	28	6	2	86	4	4	0	10	0	1	6	11	4	9	4	5	8	2	3	7	5
"1396"	4	35	7	10	7	29	2	7	0	2	18	4	314	1	3	6	5	0	5	13	4	10	13	2	1	2	0	1	4	69	13	3	4	6	7	26	2	37	14	179	4	5	14	17	10	15	7	0	1	0	5	6	3	12	2	2	2	1	6	8	9	0	3	5	5	3	4	28	8	3	46	35	3	9	9	9	0	2	13	26	4	1	83	8	8	0	10	0	1	9	15	4	6	11	7	13	2	7	11	5
"1408"	8	41	10	7	9	25	1	7	0	5	8	4	302	0	6	7	3	3	4	8	5	4	13	2	1	1	0	3	6	60	13	2	8	12	4	25	4	37	9	193	1	1	12	15	1	22	8	1	3	2	1	6	1	8	3	6	2	2	2	7	6	4	1	4	12	4	4	33	4	0	62	38	1	2	29	7	0	1	10	35	6	1	82	3	6	0	7	0	3	7	8	6	8	6	6	6	0	13	6	5
"1413"	7	25	9	11	9	26	1	3	0	5	11	2	322	2	3	7	2	7	4	14	0	9	7	4	1	2	0	4	7	66	10	5	4	9	1	27	3	35	10	180	0	5	13	7	5	23	6	0	2	3	1	6	2	6	6	8	1	0	2	3	12	1	0	6	5	4	3	29	8	0	60	37	3	6	24	11	0	1	13	38	4	2	76	7	13	1	8	0	5	7	14	4	14	3	4	11	3	7	5	6
"1432"	10	33	9	12	9	16	1	9	0	2	12	2	348	1	2	5	1	7	5	14	2	2	15	3	0	0	0	4	7	41	17	6	5	9	2	22	2	43	15	192	1	6	15	15	8	11	8	0	0	2	3	3	1	10	1	8	1	1	3	5	12	2	2	2	11	4	2	35	9	2	54	40	5	3	23	7	0	2	10	34	6	1	88	4	9	0	5	1	1	6	18	6	13	7	9	20	2	12	6	2
"1437"	5	32	7	6	5	20	1	3	0	1	23	7	357	4	2	9	10	1	6	4	5	6	15	2	0	1	0	4	11	50	12	2	9	5	3	24	1	46	8	190	0	7	20	19	3	13	4	0	2	2	5	6	1	9	3	3	1	1	4	10	4	2	0	12	7	6	3	34	6	1	59	24	2	3	23	6	0	0	11	28	8	1	74	2	9	1	6	0	1	7	16	8	13	6	2	16	1	14	3	1
"1441"	6	35	14	12	2	22	2	3	0	6	14	3	336	2	2	8	5	3	6	7	4	4	10	1	0	2	0	2	3	49	10	0	5	7	7	20	0	45	11	192	3	6	21	10	9	13	9	0	0	1	6	4	1	10	1	3	5	1	5	7	10	4	0	4	8	6	5	40	10	1	66	26	2	5	23	10	0	0	10	24	4	1	73	5	9	1	5	0	1	9	14	5	9	5	5	8	2	6	3	5
"1444"	7	37	13	15	6	14	1	5	0	2	19	5	338	5	13	9	4	2	2	9	4	5	7	3	0	1	0	6	6	54	11	6	4	12	2	31	1	41	11	193	1	7	18	19	5	10	4	0	1	5	1	6	1	6	3	2	2	3	5	3	9	1	0	3	8	6	1	38	6	1	65	23	4	6	26	5	0	3	11	26	11	0	80	2	5	0	6	1	3	6	8	3	12	7	2	17	1	9	5	4
"1451"	6	22	11	4	8	14	4	8	0	2	19	3	336	0	6	9	6	2	3	14	2	8	12	2	0	1	0	2	4	48	16	7	2	9	5	20	1	41	11	201	2	4	20	22	6	18	10	0	0	2	1	4	3	8	1	3	1	1	5	3	11	2	5	5	15	4	3	28	9	2	64	31	3	2	14	6	0	1	8	26	7	1	91	2	11	0	10	1	2	5	13	3	12	4	9	18	0	3	6	5
"1460"	6	31	10	15	11	11	3	2	0	2	22	6	333	0	5	9	6	1	7	5	3	4	11	5	0	1	1	2	3	57	10	4	2	9	6	25	4	41	8	209	3	6	25	14	7	12	6	1	0	2	3	6	0	5	4	6	2	3	6	3	14	0	4	5	7	8	4	42	3	0	51	29	1	10	23	8	0	1	14	28	6	0	77	6	12	1	11	1	0	3	12	7	13	1	8	13	1	7	6	6
"1471"	5	28	6	5	1	13	3	0	0	5	14	5	363	0	0	1	6	0	4	14	6	4	8	3	0	0	0	2	8	55	15	3	8	14	1	28	2	43	7	212	0	4	20	21	4	15	4	0	2	5	4	3	3	9	1	5	1	1	3	7	10	1	3	4	12	5	1	25	3	0	63	26	1	6	20	13	0	1	9	34	6	0	57	2	5	0	8	1	1	8	13	4	16	4	2	16	0	5	7	2
"1475"	8	22	8	9	6	15	0	6	0	0	11	1	368	1	6	10	7	2	5	5	8	3	6	2	0	1	0	7	5	65	14	6	3	10	2	19	2	47	9	211	3	3	11	19	5	8	8	0	0	2	4	1	0	9	4	4	1	1	5	7	10	3	2	2	13	5	4	30	7	0	60	32	5	5	20	4	0	0	9	32	4	1	60	9	11	0	7	0	1	11	13	4	13	5	6	13	0	9	3	3
"1484"	3	23	6	9	5	13	1	5	0	1	13	5	350	7	4	4	5	2	11	5	5	4	10	4	1	1	0	2	7	58	12	4	8	7	4	24	1	45	7	205	3	10	20	13	9	11	11	2	0	3	4	6	0	9	0	2	0	0	4	2	7	3	0	6	15	2	4	25	3	3	68	33	3	6	30	9	0	3	11	28	4	0	57	6	7	0	10	2	3	5	15	5	18	6	2	10	1	8	7	2
"1489"	10	22	6	13	9	12	1	8	0	1	7	5	343	1	3	6	6	1	10	9	1	9	10	0	0	1	0	7	6	54	14	4	4	7	3	25	1	46	20	208	3	3	23	16	8	16	10	0	1	0	0	9	3	8	2	3	1	2	3	6	8	5	0	5	8	3	4	22	7	1	73	33	1	3	19	11	0	5	11	28	6	2	71	3	14	0	3	1	3	9	13	2	13	5	6	17	2	11	4	5
"1495"	2	29	3	9	5	17	2	4	0	0	14	3	319	4	4	6	8	4	4	7	2	4	7	3	0	4	1	2	11	46	12	3	3	19	1	30	1	39	8	193	0	9	14	12	7	15	5	0	2	5	4	3	0	13	1	3	2	1	3	5	10	1	0	3	11	6	4	31	14	0	80	38	7	3	12	10	0	2	7	24	3	1	79	3	7	0	9	2	6	9	18	3	10	8	6	20	1	4	10	5
"1506"	6	36	13	9	11	17	3	2	0	1	15	0	304	0	2	9	8	1	8	10	3	8	13	4	0	0	0	0	8	53	13	5	4	9	5	37	1	31	9	195	1	7	17	13	7	11	8	0	0	8	2	5	2	5	2	2	1	1	3	4	14	5	2	3	8	8	2	27	3	1	72	35	2	11	13	12	0	2	11	25	7	2	67	5	11	0	10	0	4	11	17	5	12	8	6	15	0	10	10	3
"1507"	5	31	10	7	10	17	3	2	0	2	13	0	305	1	2	6	9	0	10	6	5	7	7	8	0	0	0	3	3	59	10	8	2	5	5	36	1	32	12	198	1	6	22	15	12	14	6	0	1	5	2	4	1	7	0	3	1	1	4	6	13	2	2	5	4	5	2	31	7	1	67	34	2	6	13	11	0	3	11	26	1	1	69	9	12	1	4	1	1	12	14	4	10	6	5	15	0	8	5	2
"1509"	8	34	5	3	8	22	3	5	0	3	13	3	315	2	7	3	4	0	4	9	2	7	8	3	0	3	0	2	6	57	10	6	5	8	9	34	0	31	13	198	0	8	25	17	4	13	7	1	1	7	4	9	1	2	0	7	1	0	3	6	3	3	1	9	14	5	2	35	5	2	77	35	4	8	14	10	1	2	10	30	6	1	60	4	7	3	4	1	4	10	17	2	11	8	6	12	0	10	8	2
"1512"	6	29	11	9	9	23	2	9	0	4	11	1	299	1	5	10	10	6	3	5	6	5	14	3	0	2	0	1	7	58	13	5	3	6	7	30	1	26	11	203	0	3	27	16	9	16	3	0	1	11	4	8	0	12	1	2	0	1	2	5	7	2	3	7	7	6	2	36	7	1	78	36	3	6	16	10	0	1	14	34	6	2	57	7	5	0	3	0	1	6	17	3	10	3	5	13	2	7	5	2
"1523"	6	30	9	7	7	31	4	10	0	2	10	1	292	7	7	5	9	2	6	10	4	3	10	1	0	0	0	5	7	68	11	3	3	9	4	27	1	34	6	197	1	4	24	15	4	15	7	0	1	4	2	1	2	8	0	6	2	2	5	8	13	3	2	6	8	2	3	34	9	2	59	47	4	5	24	9	0	0	17	30	4	1	57	8	12	1	7	0	1	7	18	4	16	11	4	9	2	12	5	4
"1534"	9	34	16	12	5	28	1	11	1	3	10	1	303	0	5	10	3	3	7	13	1	9	9	2	1	0	0	4	7	58	8	3	4	9	5	36	1	36	9	211	2	8	15	15	6	14	8	0	0	1	3	5	4	5	2	1	3	3	4	5	14	1	1	3	12	9	2	21	8	0	56	41	2	3	23	5	1	3	12	35	4	1	58	2	13	2	11	2	2	5	13	4	17	3	6	14	1	16	3	3
"1551"	8	35	7	11	5	19	0	14	0	4	19	2	334	0	4	3	8	2	6	10	3	8	8	5	3	1	0	2	6	47	8	5	4	12	3	20	2	37	11	226	0	7	20	14	5	15	4	0	0	1	3	1	2	12	0	7	2	3	0	5	8	0	3	0	13	3	3	30	3	0	48	44	3	4	26	14	0	3	9	33	6	2	62	5	11	1	8	0	2	5	14	3	13	3	3	12	0	8	7	5
"1562"	6	38	6	7	5	20	2	5	0	4	10	3	345	5	2	9	5	2	3	7	4	1	9	5	1	2	0	3	7	39	10	5	5	8	2	19	3	34	6	213	4	12	13	12	7	22	10	0	2	3	0	2	2	8	1	4	2	0	9	7	11	3	2	4	11	3	2	36	10	1	43	40	1	3	26	8	1	2	7	33	3	1	77	3	4	4	5	2	2	9	17	5	14	7	7	10	0	12	10	2
"1588"	3	29	12	11	9	32	0	5	0	0	12	1	306	6	4	5	3	4	5	10	1	7	7	2	1	1	0	3	4	54	10	6	1	8	4	24	5	37	12	220	2	6	15	14	4	7	4	0	0	5	1	6	0	7	1	5	3	1	4	4	19	2	4	7	7	3	4	29	12	1	42	39	6	3	19	2	2	2	13	28	7	0	77	6	4	1	5	1	5	3	11	10	12	5	7	16	2	8	5	2
"1614"	3	37	9	12	4	17	2	6	0	4	13	1	329	2	11	10	5	2	3	8	4	4	8	2	0	0	0	4	1	54	10	0	5	13	6	27	2	48	7	245	3	11	15	8	7	12	6	1	2	0	3	1	1	14	2	4	1	2	4	5	9	1	1	6	11	2	3	28	9	1	42	36	1	7	17	13	0	4	7	29	11	4	53	5	5	0	9	1	2	6	13	7	15	6	7	20	0	8	4	1
"1633"	7	34	8	6	6	18	1	5	0	2	8	2	318	3	4	3	13	2	5	10	5	4	17	2	0	1	0	0	7	59	8	5	3	11	8	24	1	52	8	232	2	1	12	12	9	13	2	0	2	4	2	3	4	12	2	4	2	0	4	5	18	2	3	5	6	3	1	27	7	4	50	22	3	6	13	3	1	3	8	40	1	2	49	3	8	0	8	1	2	9	13	4	15	6	6	11	1	7	7	7
"1643"	7	25	7	14	4	14	2	9	0	1	16	3	320	0	2	9	3	5	10	14	4	6	12	3	0	2	0	3	5	52	13	8	4	8	2	24	2	44	6	211	3	6	18	17	6	15	6	0	0	6	4	3	0	4	0	9	2	2	7	9	3	0	2	3	10	2	2	31	5	1	53	23	5	7	20	7	0	3	14	41	2	0	66	6	10	1	7	0	3	11	10	2	16	8	1	10	0	8	7	1
"1646"	6	35	11	9	8	15	2	7	0	1	16	2	326	2	7	2	6	3	4	15	1	6	8	2	0	4	0	5	10	65	21	1	6	11	2	32	3	43	11	208	1	7	17	12	11	12	8	0	1	4	2	1	1	12	4	2	2	3	3	5	8	3	2	3	9	6	3	28	7	0	55	21	3	4	20	10	1	1	8	48	8	0	77	2	7	1	7	1	3	8	8	1	17	4	2	15	2	11	6	3
"1651"	3	38	5	8	7	22	3	2	0	4	11	2	324	4	6	4	1	1	6	11	3	5	9	3	0	1	0	6	7	57	5	2	3	10	3	33	2	40	15	204	2	6	21	24	6	16	4	0	0	1	2	5	1	16	0	6	5	3	6	6	7	1	2	3	7	2	2	25	8	1	49	32	2	5	18	7	0	2	16	42	5	1	81	2	15	1	5	1	2	6	8	4	15	7	8	12	0	6	6	2
"1653"	6	34	6	6	7	22	1	2	0	2	16	4	318	2	3	8	7	1	7	12	2	2	10	1	0	3	0	1	5	57	9	1	4	7	5	26	5	35	11	200	1	10	25	16	10	14	8	0	0	1	2	7	0	11	3	7	0	2	3	8	13	2	0	3	10	3	2	25	17	3	48	37	4	5	24	15	0	0	18	38	4	1	74	5	8	0	9	0	1	5	12	1	17	13	4	10	0	8	5	2
"1659"	6	29	12	5	3	25	4	4	0	2	10	3	303	0	4	4	4	3	6	8	0	2	7	5	0	1	0	3	6	52	22	3	2	13	4	23	2	42	14	207	0	6	22	9	5	12	7	1	2	3	1	4	1	10	2	4	1	0	6	5	10	1	0	3	9	3	2	32	5	1	55	44	2	8	27	5	0	2	8	31	2	0	70	0	7	0	9	2	2	3	14	4	15	4	8	16	3	10	0	2
"1660"	7	30	12	6	6	24	4	11	0	0	14	2	307	0	2	8	6	8	6	9	6	5	11	3	0	0	0	4	3	59	20	2	5	11	4	28	4	44	17	203	0	6	18	13	7	16	9	1	2	1	0	4	4	10	2	4	3	0	0	4	13	3	1	1	8	2	6	29	10	1	54	46	4	9	30	6	0	3	7	30	7	1	68	4	7	1	7	2	0	3	13	6	13	5	7	15	1	7	2	3
"1673"	5	26	5	7	5	23	6	4	0	1	12	7	336	2	4	6	6	0	7	11	3	1	11	3	0	1	1	3	5	73	8	3	3	10	3	21	0	47	8	216	1	7	22	16	4	11	6	0	0	2	3	2	3	9	1	2	0	0	4	8	10	2	1	6	12	1	3	19	3	0	68	34	1	7	20	7	0	3	12	31	4	1	65	9	17	0	8	0	3	6	11	6	16	9	8	9	0	9	7	5
"1680"	6	35	4	11	3	23	5	6	0	4	8	8	334	3	6	6	8	2	3	9	8	7	6	3	0	1	0	1	4	75	11	3	9	8	10	23	2	44	8	201	0	6	19	17	7	13	9	0	0	2	5	9	0	7	2	2	3	1	3	7	7	0	0	5	9	3	3	16	8	0	71	33	4	4	24	11	0	1	7	22	6	1	74	3	5	1	9	1	1	4	15	0	16	0	8	9	1	6	4	5
"1687"	5	38	4	8	8	31	4	6	0	2	13	2	336	0	6	5	6	1	7	5	4	6	10	2	1	1	0	2	5	71	11	4	8	9	6	30	3	43	11	198	1	2	10	14	7	16	2	0	1	2	2	7	4	10	3	1	2	3	8	8	8	1	0	5	13	2	2	20	10	0	68	36	3	7	21	10	0	1	12	25	3	0	86	6	12	2	8	2	5	5	10	4	20	8	3	14	0	7	6	5
"1695"	6	31	10	8	6	30	4	6	0	1	13	0	336	0	4	8	2	3	11	11	7	5	9	2	0	3	0	4	6	57	11	7	9	13	2	21	1	44	11	195	0	7	16	17	6	14	4	1	1	7	0	6	2	7	2	3	1	0	3	5	10	4	1	9	6	5	4	18	8	2	54	35	3	13	25	11	3	4	13	20	5	3	65	8	10	1	6	1	3	9	6	2	13	7	14	12	0	9	7	3
"1700"	8	29	3	10	7	25	9	4	0	3	16	1	332	5	4	2	4	3	3	9	5	4	11	2	0	0	0	3	6	52	15	5	4	13	3	24	2	44	10	199	1	7	16	10	7	12	2	0	0	4	3	2	2	8	5	4	1	0	8	5	19	2	1	8	12	5	1	20	9	2	49	36	4	4	26	9	0	3	12	23	3	0	74	1	9	0	7	0	2	9	15	5	16	5	5	18	1	10	5	2
"1708"	5	30	7	8	9	12	8	3	0	2	17	7	372	2	5	11	4	4	6	5	2	4	9	5	0	2	0	4	7	62	8	9	7	10	5	28	3	53	8	190	2	7	24	14	4	13	8	0	2	5	2	2	3	9	3	7	0	0	6	7	12	3	1	3	11	3	5	16	11	0	45	35	3	5	22	9	0	3	9	30	5	0	70	6	8	0	7	0	1	8	18	3	20	3	4	18	0	11	6	1
"1710"	4	33	4	2	6	14	5	5	0	3	17	3	382	2	7	7	3	4	2	7	5	5	9	1	0	4	0	3	10	60	14	2	4	12	1	21	3	48	7	191	1	6	23	13	9	13	2	0	2	4	2	0	2	10	1	5	2	0	3	7	12	2	0	7	7	4	5	24	10	4	40	30	1	5	20	7	0	1	13	30	9	0	71	7	8	0	9	1	1	12	11	5	18	5	8	20	1	11	9	4
"1732"	13	32	4	13	3	24	2	5	0	3	29	2	351	2	2	6	5	1	3	4	7	4	8	2	0	0	0	4	5	51	9	4	7	7	7	27	1	44	12	185	0	3	7	16	4	13	7	1	0	1	2	2	1	4	3	5	6	2	5	9	14	2	0	4	4	7	2	23	4	0	68	35	2	8	23	6	0	1	9	23	15	3	63	4	11	0	9	2	0	4	15	3	11	6	12	11	0	4	10	1
"1734"	14	23	5	12	6	27	3	8	0	5	16	3	357	4	3	8	4	2	9	4	2	6	12	3	0	1	1	5	2	48	12	6	6	12	7	25	3	43	10	174	3	3	12	12	5	13	8	0	0	3	4	4	1	9	3	3	2	2	4	3	7	1	0	5	7	3	4	19	5	0	59	36	4	6	14	9	1	1	10	25	4	0	64	5	5	0	2	1	3	5	25	5	12	6	4	9	1	6	6	1
"1742"	4	25	6	12	12	21	3	9	0	4	8	0	326	3	6	3	3	0	7	8	3	6	16	4	0	2	0	2	2	56	9	5	7	14	4	27	5	44	9	178	0	7	22	11	3	16	6	0	0	2	2	6	3	11	1	5	3	2	2	6	10	1	1	1	9	3	1	14	12	0	58	35	4	4	25	11	0	1	15	33	6	3	73	4	10	0	9	0	1	6	9	5	15	11	3	10	1	5	6	0
"1748"	4	33	3	7	7	19	3	2	0	1	13	4	317	0	4	9	5	2	5	14	3	4	7	3	0	0	0	0	6	60	8	6	6	7	7	28	3	40	10	181	0	2	26	17	11	21	7	0	0	5	6	6	1	11	1	2	4	5	0	4	10	4	1	6	7	4	2	27	7	2	63	34	4	5	28	9	1	1	10	33	5	1	65	5	11	0	10	2	2	7	17	3	14	10	5	10	0	9	8	3
"1755"	11	25	9	14	6	14	0	3	0	1	17	1	347	1	4	6	8	5	3	11	2	8	9	2	0	2	0	3	9	59	11	2	8	16	6	22	4	34	9	170	1	8	13	16	6	19	4	0	1	5	5	2	1	12	0	5	2	2	6	9	8	1	2	7	10	5	4	31	10	2	59	29	0	8	22	10	1	0	7	25	9	1	69	1	9	2	8	0	2	6	9	3	15	5	9	16	0	10	5	7
"1756"	6	25	6	10	8	14	1	2	0	6	15	2	339	1	2	12	10	4	8	11	4	7	10	5	0	0	0	5	4	61	12	2	2	15	3	24	3	41	10	168	3	5	15	14	5	15	4	0	1	2	4	2	2	10	0	5	0	1	7	8	11	3	1	7	11	7	1	32	12	2	57	35	1	10	24	10	0	1	7	22	5	0	69	5	8	0	8	1	1	8	8	2	14	7	5	14	0	9	5	8
"1766"	7	31	8	9	7	18	2	7	0	1	14	3	348	2	8	3	8	0	7	15	2	4	11	0	1	1	1	5	9	61	9	10	1	8	2	22	1	47	9	161	2	2	16	16	7	12	3	0	0	1	3	7	2	9	0	6	1	3	4	2	6	3	1	7	10	6	0	24	9	0	58	49	3	6	21	8	0	4	10	17	9	5	59	5	6	1	4	1	2	8	11	3	8	8	3	16	1	7	11	4
"1769"	4	28	3	15	5	24	2	10	0	0	22	2	340	5	5	8	4	3	5	14	5	6	10	3	1	1	0	1	9	62	3	6	7	10	6	24	3	48	10	162	1	3	18	16	10	18	5	0	1	1	1	6	2	11	2	4	5	0	4	5	10	4	0	6	21	3	3	21	7	1	57	43	0	5	21	7	0	0	13	21	6	4	50	6	11	0	12	1	1	4	10	3	8	2	3	16	2	8	7	4
"1773"	8	25	7	7	8	31	0	6	0	0	19	8	358	4	8	4	3	2	6	7	3	5	12	3	0	1	0	4	4	65	11	2	6	5	1	26	1	37	12	171	2	5	20	17	6	18	7	0	1	2	0	7	0	15	2	4	1	0	4	4	11	0	0	8	12	3	4	23	8	3	66	36	2	8	21	8	2	0	11	24	5	2	42	11	9	1	9	3	2	13	11	5	12	6	2	20	0	7	7	0
"1776"	10	25	3	6	6	31	2	2	1	5	10	4	354	2	6	6	2	3	7	12	3	11	12	4	0	5	0	2	3	58	13	6	6	7	3	33	2	40	12	164	0	9	19	15	2	21	9	1	1	5	1	11	4	7	1	5	2	1	2	2	10	1	1	1	12	2	3	23	5	2	53	32	3	3	24	9	0	0	7	21	7	0	43	6	10	0	2	1	5	7	15	5	14	5	8	12	1	6	3	0
"1804"	2	25	8	9	8	20	3	3	0	5	13	2	357	2	8	9	9	3	12	15	5	4	9	1	1	1	0	2	8	66	17	2	5	5	5	31	0	46	7	161	2	4	26	11	6	15	7	0	0	2	3	7	0	6	1	8	6	6	1	9	8	0	3	6	6	8	2	32	4	3	56	48	5	7	21	9	0	1	13	27	4	1	79	2	6	0	11	1	2	7	10	7	8	12	5	13	0	13	6	8
"1805"	3	22	8	9	8	20	4	1	0	2	13	0	361	1	9	7	10	2	6	12	4	4	9	0	0	2	0	2	4	68	15	2	3	9	3	29	0	48	10	159	2	7	24	12	4	14	5	0	0	2	3	6	1	7	0	5	4	3	2	3	10	1	3	8	6	6	2	31	4	2	56	46	4	6	29	7	0	1	12	28	4	1	79	3	5	2	5	0	3	2	17	4	10	8	3	11	0	9	8	7
"1809"	9	23	7	11	5	21	6	3	0	0	12	0	359	0	6	9	5	2	6	7	0	5	9	1	0	2	0	6	2	70	11	5	6	12	3	16	1	45	10	161	2	4	28	12	9	13	5	1	2	5	0	7	0	11	1	4	2	3	6	7	10	3	2	3	6	2	0	34	5	2	56	36	5	5	21	6	0	0	17	24	3	0	78	3	14	1	8	0	4	8	12	2	17	11	4	10	1	8	7	6
"1837"	3	38	15	4	3	17	3	5	0	3	16	5	351	2	7	8	2	2	3	10	7	1	10	2	1	5	0	4	13	58	19	3	7	12	2	29	2	46	12	168	0	3	11	13	10	14	6	0	2	4	2	4	1	11	2	4	2	1	3	4	9	0	2	11	13	3	0	35	7	2	57	31	4	8	30	6	1	0	10	32	5	0	52	4	9	2	9	1	4	11	10	7	25	7	4	14	0	4	4	4
"1842"	8	29	4	11	7	16	1	6	0	0	30	5	350	6	5	5	5	1	4	17	3	4	11	2	1	1	0	2	5	61	12	5	4	9	7	19	5	46	5	161	2	3	23	10	9	22	3	0	0	0	2	5	1	12	2	3	2	4	3	7	12	1	1	5	5	4	2	31	6	0	55	25	2	7	27	7	0	0	9	29	4	2	74	3	12	2	9	2	3	6	11	1	19	4	1	20	1	8	5	3
"1849"	6	35	8	12	2	14	4	7	0	1	11	0	355	0	5	8	6	8	5	10	8	3	7	4	0	0	0	1	5	51	2	3	4	8	1	27	0	46	13	154	0	7	20	13	6	15	4	0	1	7	1	8	2	10	1	4	1	2	3	7	9	2	1	6	10	4	4	27	7	0	50	28	4	5	18	8	0	2	11	26	4	2	91	2	6	1	7	2	1	7	6	5	14	6	10	20	0	17	9	4
"1852"	5	39	5	11	6	15	6	8	0	1	11	0	356	3	7	10	11	3	10	17	1	8	6	1	0	3	0	2	3	49	14	4	1	8	10	22	1	43	9	150	1	7	14	19	5	16	4	0	0	1	0	7	0	6	4	2	1	1	4	5	11	1	1	4	10	8	4	22	9	1	45	30	3	4	16	9	0	2	19	29	7	2	80	7	8	1	7	0	7	5	12	4	14	7	4	17	1	9	5	3
"1853"	2	42	9	12	8	18	7	9	0	3	13	0	352	3	4	8	6	3	7	14	3	8	5	1	0	2	1	5	4	55	14	3	4	7	6	25	2	43	8	151	1	8	15	20	4	14	8	0	0	3	0	6	2	9	2	2	1	3	5	9	14	2	1	3	12	9	1	23	5	1	50	27	3	5	18	14	1	2	10	29	6	2	76	6	6	0	10	1	5	5	13	5	14	8	5	14	1	7	6	4
